date,time,operator,flight_number,route,aircraft_type,registration,cn_ln,ground,summary,region,country,operator_type,tot_boarded_count,tot_passengers_boarded,tot_crews_boarded,tot_fatalities_count,passengers_fatalities,tot_crews_fatalities,reason
"August 02, 1919",00:00,Caproni Company,-,Venice  Taliedo,Caproni Ca.48,-,-,0,As the plane was passing over Verona the wings began to flutter and then collapsed and crashed. Sources differ as to the number of deaths with some reporting 15 or 17.,Verona, Italy,Commercial,14.0,12.0,2.0,14.0,12.0,2.0,unknown
"October 02, 1919",00:00,Aircraft Transport and Travel,-,-,De Havilland DH-4,-,-,0,-,Newcastle, England,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"October 14, 1919",00:00,US Aerial Mail Service,-,-,Curtiss R-4LM,32,-,0,"The pilot was performing a mail flight to Baltimore. While on final approach, in fog, the aircraft hit tree tops and crashed in a wooded area.",Cantonsville, Maryland,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"October 20, 1919",00:00,Aircraft Transport and Travel,-,-,De Havilland DH-4,G-EAHG,-,0,-,English Channel off Forkstone, Kent,Commercial,0.0,,,0.0,,,unknown
"October 30, 1919",00:00,US Aerial Mail Service,-,-,De Havilland DH.4,77,77,0,"While on a mail flight to New York the pilot encountered bad weather conditions and reduced his altitude to maintain a visual contact with the ground. Eventually, he decided to make an emergency landing in Long Valley, west of Newark. Aircraft hit the ground and crashed.",Long Valley, New Jersey,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"December 11, 1919",00:00,Aircraft Travel Transport,-,Paris - Hounslow,de Havilland DH-4,G-EAHF,-,0,Crashed in a field while attemptting to land.,Catherham Surrey ,UK,Commercial,1.0,1.0,1.0,1.0,1.0,1.0,landing or taking off
"March 10, 1920",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,65,-,0,"While on a a mail flight, the aircraft hit trees in fog and crashed in a wooded area.",New Paris, Indiana,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"March 30, 1920",00:00,US Aerial Mail Service,-,Washington - Newark,De Havilland DH-4,72,-,0,George Sherlock was killed when his mail plane crashed into a chimney while attempting to land at Heller Field in poor visibility.,Newark, New Jersey,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,poor visibility
"April 10, 1920",00:00,US Aerial Mail Service,-,-,Curtiss R-4LM,49,-,0,After a fire erupted in flight the pilot decided to make an emergency landing but the aircraft crashed near Newark.,Newark, New Jersey,Commercial,2.0,1.0,1.0,1.0,,,landing or taking off
"April 11, 1920",00:00,US Aerial Mail Service,-,-,Curtiss JN-4H,44,-,0,The aircraft crashed while on approach for unknown reasons.,Heller Field, New Jersey,Commercial,2.0,1.0,1.0,1.0,0.0,1.0,unknown
"May 12, 1920",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,79,-,0,"The pilot lost his orientation after weather conditions worsened, He eventually lost control of the plane and crashed in a field.",Oskaloosa, Iowa,Commercial,2.0,1.0,1.0,1.0,,,weather
"June 06, 1920",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,204,-,0,The aircraft suffered engine failure and crashed shortly after taking off.,Cleveland, Ohio,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,engine failure
"June 20, 1920",00:00,Compañia Colombiana de Navegación Aérea,-,-,Farman F-40,-,-,0,Crashed while taking off after engine failure. Engine failure due to fuel exhaustion.,Cartagena, Columbia,Commercial,1.0,1.0,1.0,1.0,1.0,1.0,engine failure
"August 16, 1920",00:00,By Air,-,-,Armstrong-Whitworth F-K-8,G-EALW,-,0,The plane crashed during a cargo flight under unknown circumstances.,Bedford, England,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"August 16, 1920",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,317,-,0,"While approaching in poor visibility to land, the plane hit a radio mast and crashed in flames.",College Park, Maryland,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,poor visibility
"September 01, 1920",00:00,US Aerial Mail Service,-,-,Junkers JL-6,305,-,0,"While en route, the mail plane went out of control and crashed after experiencing an in flight fire.",Morristown, New Jersey,Commercial,2.0,0.0,2.0,2.0,0.0,2.0,lost control
"September 15, 1920",00:00,US Aerial Mail Service,-,-,Junkers F-13,308,-,0,The pilot crashed after attempting to make an emergency landing after the engine caught fire.,Pemberville, Ohio,Commercial,2.0,,,2.0,,,caught fire
"September 27, 1920",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,316,-,0,The plane struck power lines and crashed in flames after flying at a low altitude in poor visibility.,Hillersburg, Pennsylvania,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,low altitude
"October 02, 1920",00:00,Latecoere Airlines,-,-,Salmson 2-A-2,F-ALAI,31,0,Crashed into the Mediterranean while on a mail flight.,Off Port Vendres, France,Commercial,2.0,1.0,1.0,2.0,1.0,1.0,unknown
"October 05, 1920",00:00,Latecoere Airlines,-,-,Breguet 14,F-ALTA,20,0,While on a mail flight the plane crashed while attempting to land.,Valencia, Spain,Commercial,2.0,1.0,1.0,2.0,1.0,1.0,landing or taking off
"October 15, 1920",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,76,-,0,While attempting to land in fog the aircraft hit an obstruction and crashed.,Batavia, Illinois,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"November 07, 1920",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,-,178,0,The aircraft crashed into a mountain in poor weather condtions.,Tie Siding, Wyoming,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"December 14, 1920",12:15,Handley Page Transport,-,London - Paris,Handley Page HP-16,G-EAMA,HP-25,0,The plane failed to gain altitude after taking off and crashed into a tree and a house. Pilot error in taking off towards a hill in unfavorable wind conditions and fog.The first commercial air disaster to result in passenger fatalities during a regularly scheduled service..,London, England,Commercial,8.0,6.0,2.0,4.0,2.0,2.0,weather
"December 24, 1920",00:00,Aeropostale,-,-,Breguet 14,F-ALBO,57,0,The aircraft stalled and crashed when an engine failed.,Barcelona, Spain,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,engine failure
"February 03, 1921",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,130,-,0,Shortly after takeoff from Minneapolis-World Chamberlain Field the engine failed. The aircraft lost altitude and crashed  in a field.,Mendotta, Minnisota,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,engine failure
"February 09, 1921",00:00,US Aerial Mail Service,-,-,Junkers F-13,301,-,0,Crashed for unknown reasons. Both pilots and the mechanic were killed.,La Crosse, Wisconsin,Commercial,3.0,0.0,3.0,3.0,0.0,3.0,unknown
"February 15, 1921",00:00,Aeropostale,-,-,Breguet 14,F-ALBA,-,0,The mail fligh encountered poor weather conditions and crashed into the ocean while on approach to Gibraltar. The bodies of the crew were never recovered.,Off Gibraltar,-,Commercial,2.0,0.0,2.0,2.0,0.0,2.0,weather
"February 22, 1921",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,67,-,0,"Shortly after taking off, the aircraft stalled and crashed .",Elko, Nevada,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,landing or taking off
"April 06, 1921",00:00,Military - Royal Australian Air Force,-,-,  Avro 504,H3021,-,0,"Shortly after taking off on a training flight, the aircraft dove into the ground and exploded in flames.",Point Cook, Australia,Military,2.0,0.0,0.0,2.0,0.0,0.0,landing or taking off
"April 21, 1921",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,160,-,0,After taking off the aircraft stalled and crashed.,Mitchel Field, NY,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,landing or taking off
"April 29, 1921",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,196,-,0,"The aircraft crashed in a field, short of the runway, a few minutes before its scheduled arrival in Cleveland. The weather was poor with fog.",Cleveland, Ohio,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"May 17, 1921",00:00,US Aerial Mail Service,-,-,De Havilland DH-4De Havilland DH-4,176,-,0,Crashed while attempting to land.,Rock Springs, Wyoming,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,landing or taking off
"August 14, 1921",00:00,Aeropostale,-,-,Breguet 14,F-ALBI,-,0,-,Toulouse, France,Commercial,2.0,,,2.0,,,unknown
"August 24, 1921",17:40,Military - Royal Airship Works,-,-,Royal Airship Works ZR-2 (airship),R-38,R-38,1,Crashed due to structural failure followed by two explosions and a fire. Attributed to faulty design.,River Humber, England,Military,46.0,0.0,46.0,46.0,0.0,46.0,faulty design
"September 06, 1921",00:00,Franco-Roumaine,-,Warsaw - Prague - Strasbourg - Paris,Potez IX,F-ADCD,160,0,Crashed while making an approach to Le Bourget Airport in Paris. Pilot aborted the landing due to another aircraft on the runway.,Paris, France,Commercial,5.0,4.0,1.0,5.0,4.0,1.0,landing or taking off
"December 05, 1921",00:00,West Australian Airways,-,Geraldton - Derby,Bristol 28 Tourer,G-AUDI,6116,0,On approach to Geraldton the plane crashed near the Murchinson River. Considered the first commercial flight in Australila.,Near Murchinson River, Australia,Commercial,2.0,0.0,2.0,2.0,0.0,2.0,unknown
"January 14, 1922",00:00,Handley Page Transport,-,-,Handley Page O/10,G-EATN,HP-43,5,Crashed at Le Bourget field.,Paris, France,Commercial,5.0,4.0,1.0,5.0,4.0,1.0,unknown
"February 21, 1922",00:00,Military - U.S. Army Air Service,-,-,Dirigible Roma (airship),-,-,0,Crashed from a height of 500 ft. after experiencing control problems cause by malfunctioning controls.,Near Norfolk, Virginia,Military,45.0,,,34.0,,,engine failure
"March 22, 1922",11:40,Aero Limited,-,Miami - Bimini,Aeromarine Model 85 (flying boat),-,-,0,"The plane ditched into the ocean about 40 miles East of Florida after a propeller blade broke. Only the pilot survived, being picked up over 2 days later. The flying boat was named Miss Miami.",North Atlantic Ocean,-,Commercial,6.0,5.0,1.0,5.0,5.0,0.0,engine failure
"April 07, 1922",13:15,Daimler Airways / Grands Express Aeriens,-,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,G-EAOW/FGEAD,4,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.",Grandvilliers, France,Commercial,7.0,5.0,2.0,7.0,5.0,2.0,weather
"April 08, 1922",00:00,-,-,Test,-,-,-,0,Aboard were all workers taking part in a flight test. All seventeen aboard were Chinese nationals.,Pao Ting Fou, China,Commercial,17.0,0.0,17.0,17.0,0.0,17.0,unknown
"June 03, 1922",00:00,Cie des Messageries Aeriennes,-,Croydon - Paris,Bleriot Spad 27,F-ACMH,555,0,Went down into the English Channel while en route.,Off Folkestone Kent ,England,Commercial,3.0,2.0,1.0,3.0,2.0,1.0,unknown
"July 04, 1922",00:00,-,-,Hamburg - Berlin,LVG C VI,-,-,0,"The passenger/mail plane lost it's engine while taking off and crashed into trees. Actress Fern Andra survived the accident but her director, Georg Bluen did not. The pilot, Lothar von Richthofen, was also killed. He was a World War I ace and brother of Manfred von Richthofen (The Red Baron).",Fuhlsbuttel, Germany,Commercial,3.0,2.0,1.0,2.0,1.0,1.0,engine failure
"July 16, 1922",16:45,Compagnie Franco-Roumaine de Navigaation Aerienne,-,Strasbourg - Paris,Potez 29,F-FREI,25,0,Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.,Near Saverne Lorraine ,France,Commercial,5.0,4.0,1.0,5.0,4.0,1.0,engine failure
"July 26, 1922",00:00,Grands Express Aeriens,-,-,Breguet 14,F-ALVE,117,0,"While attempting to make an emergency landing due to engine problems, the aircraft hit telephone lines and crashed.",Cadix, Spain,Commercial,3.0,2.0,1.0,3.0,2.0,1.0,engine failure
"September 07, 1922",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,227,-,0,The plane stalled shortly after takeoff and crashed.,Indianapolis, Indiana,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"October 02, 1922",00:00,-,-,Venice - London,de Havilland DH-9,G-EAYT,14,0,Shortly after taking off the plane crashed into the sea and sank.,Venice, Italy,Commercial,4.0,3.0,1.0,4.0,3.0,1.0,landing or taking off
"October 25, 1922",00:00,Grands Express Aeriens,-,-,Breguet 14,-,-,0,Crashed while on a flight from France.,Larache, Morocco,Commercial,2.0,1.0,1.0,2.0,1.0,1.0,unknown
"December 03, 1922",00:00,Grands Express Aeriens,-,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,F-ALNA,14,0,While flying in foggy conditions the pilot reduced altitude and crashed into a hill.,Fez, Morocco,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"January 10, 1923",00:00,Amee de l'Air,-,-,Lioré-et-Olivier H-13,F-AEIB,4,0,The plane crashed mid-air due to a structural failure of the tail.,Ajaccio, France,Commercial,4.0,2.0,2.0,3.0,1.0,2.0,engine failure
"January 17, 1923",00:00,Grands Express Aeriens,-,-,Breguet 14,F-ALJU,6083-130,0,Crashed into a mountain during a snowstorm.,Barcelona, Spain,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"January 18, 1923",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,223,-,0,Crashed during a mail flight.,Cheyenne, Wyoming,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"February 26, 1923",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,291,-,0,The pilot lost control of the aircraft  while on approach in poor weather conditions.,Meadville, Pennsylvania,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"May 14, 1923",13:40,Grands Express Aeriens (Air Union),-,Paris - London,Farman F-60 Goliath,F-AEBY,15,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.",Near Amiens Picrdie ,France,Commercial,6.0,4.0,2.0,6.0,4.0,2.0,engine failure
"August 27, 1923",00:00,Campagnie France Roumaine,-,-,Blériot Spad 46,F-AEGN,28,0,Crashed while on approach to Bucharesst.,Bucharest, Romania,Commercial,2.0,1.0,1.0,2.0,1.0,1.0,unknown
"September 07, 1923",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,283,-,0,Crashed during an emergency landing attempt.,Colton, Ohio,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,landing or taking off
"September 14, 1923",18:00,Daimler Airways,-,Croydon - Manchester,de Havilland DH-34,G-EBBS,29,0,Crashed while attempting a forced landing after encountering heavy rain.,Near Ivinghoe Buckinghamshire ,England,Commercial,5.0,3.0,2.0,5.0,3.0,2.0,landing or taking off
"November 18, 1923",00:00,CCCP,-,-,Junkers F-13,D-257,-,0,Crashed during a training flight.,Russia,-,Commercial,5.0,2.0,3.0,3.0,1.0,2.0,unknown
"December 06, 1923",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,318,-,0,-,Castalia, Ohio,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"December 23, 1923",02:30,Military - French Navy,-,Toulon - Algiers,Zeppelin Dixmunde (airship),L-72,-,0,"Crashed while on a flight from Toulon, France to Algiers, Algeria.  The last known radio contact reported the ship nearly out of fuel and battling strong winds.  Struck by lightning.",Over the Mediterranean Sea,-,Military,52.0,,,52.0,,,weather
"December 24, 1923",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,315,-,0,Crashed into a montain in poor weather conditions.,Egbert, WY,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,weather
"March 07, 1924",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,327,-,0,-,Grampian, Pennsylvania,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"April 24, 1924",00:00,KLM Royal Dutch Airlines,-,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,H-NABS,1535,0,-,Over the English Channel,-,Commercial,3.0,2.0,1.0,3.0,2.0,1.0,unknown
"June 08, 1924",00:00,SCADTA,-,Barranquilla - Bogota,Junkers F-13,A16,-,0,Stalled after taking off and crashed into a tree.,Barranquilla, Colombia,Commercial,5.0,3.0,2.0,5.0,3.0,2.0,landing or taking off
"August 01, 1924",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,297,-,0,-,United States,-,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"November 06, 1924",00:00,Grands Express Aeriens,-,-,-,F-AFBD,-,0,-,Cabrerolles, France,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"December 21, 1924",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,311,-,0,-,Goshen, Indiana,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"December 24, 1924",12:00,Imperial Airways,-,London - Paris,de Havilland DH-34B,G-EBBX,36,0,"Shortly after taking off, witnesses observed a puff of white smoke after which the plane nose-dived into the ground. Fuel starvation. Captain Stewart and seven passengers were killed in an attempted forced landing.",Purley, England,Commercial,8.0,7.0,1.0,8.0,7.0,1.0,landing or taking off
"March 22, 1925",00:00,Zakavia,-,Tiflis - Suchumi,Junkers F-13,R-RECA,590,0,Shortly after take off the plane went out of control and crashed in flames.,Near Tiflis Georgia ,USSR,Commercial,5.0,3.0,2.0,5.0,3.0,2.0,landing or taking off
"April 25, 1925",00:00,Grands Express Aeriens,-,Alicante - Barcelona - Toulouse,Breguet 14,F-AFBB,202,0,"Shortly after takeoff, while flying at a low altitude, in poor visibility, the, aircraft hit a lightning rod, stalled and crashed.",Alicante, Spain,Commercial,3.0,1.0,2.0,3.0,1.0,2.0,weather
"June 25, 1925",00:00,KLM Royal Dutch Airlines,-,Amsterdam - Paris,Fokker (KLM)  F.III,H-NABM,1502,0,"While in a turn in bad weather, the right wing struck trees and the plane crashed. Failure of an aileron in flight.",Landrécies, France,Commercial,4.0,3.0,1.0,4.0,3.0,1.0,weather
"June 26, 1925",00:00,Grands Express Aeriens,-,Oran - Alicante,Lioré-et-Olivier LeO H-13,F-FREM,-,0,While attempting to land the seaplane hit a lightning mast and crashed.,Alicante, Spain,Commercial,2.0,0.0,2.0,2.0,0.0,2.0,weather
"July 20, 1925",00:00,Lignes Aeriennes Latecoere,-,Toulouse - Barcelona,Breguet 14,F-AFBI,209,0,Crashed in unknown circumstance.,Rosas, Spain,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"July 24, 1925",00:00,CIDNA,-,-,Potez IX,-,-,0,Crashed while attempting to land 10 km from the airport,Budapest, Hungary,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,landing or taking off
"September 03, 1925",05:30,Military - U.S. Navy,-,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),ZR-1,-,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.",Caldwell, Ohio,Military,43.0,,,14.0,,,weather
"September 07, 1925",00:00,CIDNA,-,-,Spad 33,-,-,-,-,Toul, France,Commercial,,,,,,,unknown
"October 01, 1925",00:00,US Aerial Mail Service,-,-,De Havilland DH-4,385,-,0,-,Nittany Mt, Ohio,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"November 14, 1925",00:00,Lignes Aeriennes Latecoere,-,-,Breguet 14,F-AEGZ,168,0,The pilot suffered sunstroke lost control of the plane and crashed.,Nouadhibou, Mauritania,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,lost control
"November 14, 1925",00:00,Air Union,-,-,Farman F-60 Goliath,F-AMFY,-,0,-,Off Boulogne-sur-Mer, France,Commercial,2.0,,,2.0,,,unknown
"February 12, 1926",00:00,US Aerial Mail Service,-,-,Curtiss Carrier Pigeon,602,-,0,"While the mail plane was flying at a low altitude, the  aircraft hit trees and crashed in a wooded area.",Montpelier, Ohio,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,low altitude
"March 08, 1926",00:00,Deutche Lufthansa,-,-,Junkers F-13,D-290D-290,665,0,While in a training filight the aircraft stalled and crashed while attempting to land.,Staaken, Germany,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,landing or taking off
"May 31, 1926",00:00,Air Union,-,Paris - Cryodon,Breguet 14,F-ADAI,1908,0,The mail plane crashed into the English Channel and was never found.,English Channel,-,Commercial,1.0,0.0,1.0,1.0,0.0,1.0,unknown
"July 03, 1926",00:00,Compagnie Internationale de Navigation Aérienne,-,Paris - Prague - Budapest,Caudron C-61,F-AFBT,5307,0,Crashed while en route into a mountain in adverse weather conditions. The pilot was flying at too low of an altitude.,Rossaugpt, Czechoslovakia,Commercial,6.0,4.0,2.0,6.0,4.0,2.0,weather
"July 09, 1926",09:30,KLM Royal Dutch Airlines,-,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,H-NACC,4759,0,Crashed into the ground while descending in poor weather.,Wolvertem, Belgium,Commercial,2.0,1.0,1.0,2.0,1.0,1.0,weather
"July 24, 1926",00:00,Deutsche Lufthansa,-,-,Junkers F-13,D-272,660,0,Weather related.,Juist, Germany,Commercial,5.0,4.0,1.0,5.0,4.0,1.0,unknown
"August 18, 1926",00:00,Air Union,-,"Lebourget, France - Croydon, England",Bleriot 155,F-AIEB,2,0,The plane made a forced landing at Romney Marsh  in heavy fog.  Engine failure. The pilot initally survived but died a day later.,Hurst Kent ,England,Commercial,4.0,3.0,1.0,4.0,3.0,1.0,weather
